﻿,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
0,109/01/02,12542463,364772213,29,29.12,28.99,29.09,0.12,3774
1,109/01/03,15397477,449987180,29.15,29.43,29.04,29.18,0.09,5803
2,109/01/06,12664714,367299926,29.18,29.18,28.95,28.96,-0.22,6281
3,109/01/07,28160121,806477281,28.95,28.96,28.48,28.69,-0.27,11758
4,109/01/08,18148599,517134432,28.56,28.69,28.3,28.5,-0.19,8179
5,109/01/09,11167458,320681771,28.56,28.78,28.56,28.7,0.2,4291
6,109/01/10,9414322,270273569,28.83,28.85,28.65,28.69,-0.01,4426
7,109/01/13,9109161,262276665,28.73,28.85,28.7,28.84,0.15,4850
8,109/01/14,8836874,256210839,28.91,29.02,28.91,29.02,0.18,4441
9,109/01/15,9081284,263644908,29.03,29.09,29,29.01,-0.01,4338
10,109/01/16,11087219,322427243,29.11,29.12,28.95,29.1,0.09,7349
11,109/01/17,11756156,342826201,29.13,29.19,29.09,29.16,0.06,4838
12,109/01/20,8166082,238412129,29.17,29.22,29.16,29.19,0.03,4430
13,109/01/30,124629153,3463936584,28.5,28.5,27.5,27.7,-1.49,51138
14,109/01/31,43237283,1204474221,27.71,28,27.61,27.92,0.22,17976
0,109/02/03,45081773,1232880005,27.42,27.75,26.85,27.74,-0.18,17485
1,109/02/04,15739871,439889462,27.83,28.12,27.71,28.12,0.38,6763
2,109/02/05,13922740,391204283,28.24,28.25,28,28.08,-0.04,6806
3,109/02/06,15996571,452572008,28.35,28.44,28.18,28.44,0.36,7146
4,109/02/07,12253406,346368784,28.38,28.38,28.2,28.23,-0.21,4707
5,109/02/10,18717739,525106924,28,28.23,27.8,28.14,-0.09,6607
6,109/02/11,7079932,200297926,28.2,28.34,28.2,28.34,0.2,2852
7,109/02/12,12239828,348673622,28.36,28.57,28.36,28.56,0.22,4730
8,109/02/13,14950526,428962352,28.6,28.79,28.6,28.64,0.08,5060
9,109/02/14,9659751,277668138,28.64,28.82,28.63,28.79,0.15,3706
10,109/02/17,14439906,415271621,28.78,28.87,28.6,28.8,0.01,5859
11,109/02/18,12272396,353717841,28.77,28.92,28.74,28.8,0,5901
12,109/02/19,11357954,328195776,28.8,28.99,28.78,28.96,0.16,4082
13,109/02/20,8809420,255117539,29,29.06,28.87,28.93,-0.03,3915
14,109/02/21,5864280,169385080,28.91,28.99,28.85,28.9,-0.03,2927
15,109/02/24,14095127,404040210,28.77,28.77,28.59,28.7,-0.2,6607
16,109/02/25,11318028,323203381,28.45,28.7,28.36,28.67,-0.03,5321
17,109/02/26,34883285,991135939,28.5,28.55,28.3,28.3,-0.37,12847
18,109/02/27,56537310,1582527980,28.3,28.39,27.83,27.9,-0.4,24605
0,109/03/02,48021434,1323894490,27.7,27.9,27.2,27.75,-0.15,19363
1,109/03/03,26979859,756202839,28.15,28.2,27.92,27.93,0.18,11004
2,109/03/04,21853847,607769899,27.93,27.93,27.71,27.86,-0.07,10062
3,109/03/05,13650787,383064015,28.01,28.1,28,28.1,0.24,5729
4,109/03/06,27963318,778670023,28.01,28.01,27.75,27.88,-0.22,12838
5,109/03/09,96841145,2646083430,27.49,27.52,27.17,27.25,-0.63,41851
6,109/03/10,70307269,1891740596,26.8,27.26,26.76,27.25,0,30789
7,109/03/11,38279695,1039685613,27.34,27.39,26.93,26.97,-0.28,18838
8,109/03/12,155640188,4051650736,26.73,26.73,25.71,25.93,-1.04,69580
9,109/03/13,157473670,3832900047,24.35,25.32,24.02,25.29,-0.64,65517
10,109/03/16,92824206,2297360656,25.1,25.24,24.4,24.41,-0.88,44641
11,109/03/17,103620788,2461541623,23.57,24.29,23.43,23.67,-0.74,43285
12,109/03/18,80530934,1897973002,23.7,23.82,23.26,23.29,-0.38,35938
13,109/03/19,137455783,3038195108,22.88,22.88,21.45,21.85,-1.44,58603
14,109/03/20,88557505,2033834118,22.25,23.55,22.21,23.28,1.43,36112
15,109/03/23,53865745,1213799283,22.69,22.8,22.2,22.49,-0.79,25196
16,109/03/24,36966718,862933819,23.1,23.5,23.1,23.38,0.89,16262
17,109/03/25,57250013,1387175462,24.11,24.35,24.01,24.09,0.71,25443
18,109/03/26,33802267,815608436,24.34,24.34,23.81,24.26,0.17,14861
19,109/03/27,46776958,1153124887,24.73,24.86,24.31,24.35,0.09,19572
20,109/03/30,23158202,557438233,23.97,24.32,23.8,24.32,-0.03,10426
21,109/03/31,20296378,497589734,24.59,24.65,24.38,24.49,0.17,9211
0,109/04/01,17899482,438584753,24.49,24.58,24.41,24.52,0.03,7768
1,109/04/06,23678372,584802556,24.9,24.92,24.5,24.84,0.32,11016
2,109/04/07,31620054,796882951,25.12,25.29,25.12,25.22,0.38,13470
3,109/04/08,41028247,1047972797,25.22,25.78,25.13,25.77,0.55,15646
4,109/04/09,33849421,871980508,25.85,26,25.57,25.65,-0.12,15058
5,109/04/10,12990586,333728278,25.65,25.75,25.6,25.73,0.08,6274
6,109/04/13,16402804,421335596,25.73,25.77,25.51,25.68,-0.05,7941
7,109/04/14,22847925,593001342,25.7,26.05,25.7,26.05,0.37,10295
8,109/04/15,38186993,1007222642,26.2,26.48,26.19,26.47,0.42,15089
9,109/04/16,20328897,536213250,26.4,26.48,26.15,26.44,-0.03,9896
10,109/04/17,39596947,1057549748,26.8,27,26.44,26.5,0.06,17204
11,109/04/20,17055801,452141733,26.5,26.61,26.38,26.6,0.1,7262
12,109/04/21,34554572,906642548,26.45,26.59,26.06,26.1,-0.5,17167
13,109/04/22,20875507,540502965,25.9,26.24,25.6,26.23,0.13,10124
