,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
0,109/01/02,12542463,364772213,29.0,29.12,28.99,29.09,0.12,3774
1,109/01/03,15397477,449987180,29.15,29.43,29.04,29.18,0.09,5803
2,109/01/06,12664714,367299926,29.18,29.18,28.95,28.96,-0.22,6281
3,109/01/07,28160121,806477281,28.95,28.96,28.48,28.69,-0.27,11758
4,109/01/08,18148599,517134432,28.56,28.69,28.3,28.5,-0.19,8179
5,109/01/09,11167458,320681771,28.56,28.78,28.56,28.7,0.2,4291
6,109/01/10,9414322,270273569,28.83,28.85,28.65,28.69,-0.01,4426
7,109/01/13,9109161,262276665,28.73,28.85,28.7,28.84,0.15,4850
8,109/01/14,8836874,256210839,28.91,29.02,28.91,29.02,0.18,4441
9,109/01/15,9081284,263644908,29.03,29.09,29.0,29.01,-0.01,4338
10,109/01/16,11087219,322427243,29.11,29.12,28.95,29.1,0.09,7349
11,109/01/17,11756156,342826201,29.13,29.19,29.09,29.16,0.06,4838
12,109/01/20,8166082,238412129,29.17,29.22,29.16,29.19,0.03,4430
13,109/01/30,124629153,3463936584,28.5,28.5,27.5,27.7,-1.49,51138
14,109/01/31,43237283,1204474221,27.71,28.0,27.61,27.92,0.22,17976
