,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
0,109/03/02,48021434,1323894490,27.7,27.9,27.2,27.75,-0.15,19363
1,109/03/03,26979859,756202839,28.15,28.2,27.92,27.93,0.18,11004
2,109/03/04,21853847,607769899,27.93,27.93,27.71,27.86,-0.07,10062
3,109/03/05,13650787,383064015,28.01,28.1,28.0,28.1,0.24,5729
4,109/03/06,27963318,778670023,28.01,28.01,27.75,27.88,-0.22,12838
5,109/03/09,96841145,2646083430,27.49,27.52,27.17,27.25,-0.63,41851
6,109/03/10,70307269,1891740596,26.8,27.26,26.76,27.25,0.0,30789
7,109/03/11,38279695,1039685613,27.34,27.39,26.93,26.97,-0.28,18838
8,109/03/12,155640188,4051650736,26.73,26.73,25.71,25.93,-1.04,69580
9,109/03/13,157473670,3832900047,24.35,25.32,24.02,25.29,-0.64,65517
10,109/03/16,92824206,2297360656,25.1,25.24,24.4,24.41,-0.88,44641
11,109/03/17,103620788,2461541623,23.57,24.29,23.43,23.67,-0.74,43285
12,109/03/18,80530934,1897973002,23.7,23.82,23.26,23.29,-0.38,35938
13,109/03/19,137455783,3038195108,22.88,22.88,21.45,21.85,-1.44,58603
14,109/03/20,88557505,2033834118,22.25,23.55,22.21,23.28,1.43,36112
15,109/03/23,53865745,1213799283,22.69,22.8,22.2,22.49,-0.79,25196
16,109/03/24,36966718,862933819,23.1,23.5,23.1,23.38,0.89,16262
17,109/03/25,57250013,1387175462,24.11,24.35,24.01,24.09,0.71,25443
18,109/03/26,33802267,815608436,24.34,24.34,23.81,24.26,0.17,14861
19,109/03/27,46776958,1153124887,24.73,24.86,24.31,24.35,0.09,19572
20,109/03/30,23158202,557438233,23.97,24.32,23.8,24.32,-0.03,10426
21,109/03/31,20296378,497589734,24.59,24.65,24.38,24.49,0.17,9211
